internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
170440,Vigna hosei,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vigna,hosei,,,,,Backer ex K.Heyne,<em>Vigna hosei</em> Backer ex. K.Heyne belongs to the secondary Gene Pool of Bambara Groundnut <em>V. subterranea</em> (L.) Verde. (Maxted <em>et al</em>. 2004).
176109,Vicia assyriaca,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vicia,assyriaca,,,,,Boiss.,"<em>V</em><em>icia</em><em>&#160;assyriaca </em>Boiss. is a secondary wild relative of Hungarian Vetch (<span style=""font-style: italic;"">V. pannonica</span>  Crantz), a tertiary wild relative  of Narbon Bean (<span style=""font-style: italic;"">V. narbonensis</span>  L.) and Common Vetch (<span style=""font-style: italic;"">V. sativa</span>  L.) and more remotely a number of  other cultivated vetches Faba Bean (<span style=""font-style: italic;"">V. faba</span> L.), &#160;Articulated Vetch<span style=""font-style: italic;""> </span>(V<span style=""font-style: italic;"">. articulata</span> Hornem.), Bitter Vetch (<span style=""font-style: italic;"">V. ervilia</span> (L.) Willd.) and Winter Vetch (<span style=""font-style: italic;"">V. villosa</span> Roth.) (Maxted and Douglas 1996).<br/><br/>  Townsend (1967) and Meikle (1977), based on observations of herbarium material, consider <em>V. assyriaca</em> to be a synonym of <em>V. noeana</em>. Davis and Plitmann (1970), however, retained the two as distinct species, while noting the existence of intermediate forms. No introgressive specimens have been found and  the specific distinction is warranted (Maxted 1995)."
176125,Vicia hyrcanica,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vicia,hyrcanica,,,,,Fisch. &amp; C.A.Mey.,<em>Vicia hyrcanica</em> Fisch. &amp; C.A.Mey belongs to Taxon Group three of Hungarian Vetch <em>V. pannonica</em> Crantz. (Maxted 1995).
176387,Isatis arnoldiana,PLANTAE,TRACHEOPHYTA,BRASSICALES,MAGNOLIOPSIDA,BRASSICACEAE,Isatis,arnoldiana,,,,,N.Busch,"<span style=""font-style: italic;"">Isatis arnoldiana</span> N. Busch is a wild relative of dyer's woad, <span style=""font-style: italic;"">I. tinctoria</span> L."
177073,Oryza brachyantha,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Oryza,brachyantha,,,,,A.Chev. &amp; Roehr. ,"<span style=""background-color: white;""><em>O. brachyantha</em> A. Chev. &amp; Roehr. is tertiary wild relative of rice (<em>O. sativa</em> L.) and African rice (<em>O. glaberrima</em> Steud.) (USDA, ARS, National Genetic Resources Program 2017).</span>"
179241,Kyllinga oblonga,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Kyllinga,oblonga,,,,,C.B.Clarke,
179381,Tinospora mossambicensis,PLANTAE,TRACHEOPHYTA,RANUNCULALES,MAGNOLIOPSIDA,MENISPERMACEAE,Tinospora,mossambicensis,,,,,Engl.,
179518,Habenaria villosa,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Habenaria,villosa,,,,,Rolfe,
179524,Genlisea glandulosissima,PLANTAE,TRACHEOPHYTA,SCROPHULARIALES,MAGNOLIOPSIDA,LENTIBULARIACEAE,Genlisea,glandulosissima,,,,,R.E.Fr.,
179538,Crotalaria ovata,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Crotalaria,ovata,,,,,Polhill,"Polhill (1968) described the species as closely related to <em>C. iringana</em>, which is common in the same general area but at lower altitudes."
179672,Plectranthus mafiensis,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LAMIACEAE,Plectranthus,mafiensis,,,,,A.J.Paton,
179712,Coffea rhamnifolia,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,RUBIACEAE,Coffea,rhamnifolia,,,,,(Chiov.) Bridson,"<em>Coffea rhamnifolia&#160;</em>(Chiov.) Bridson is a wild relative of commercial coffee species,&#160;<em>C. arabica</em>&#160;L. and&#160;<em>C. canephora</em>&#160;Pierre ex A.Froehner (Vincent&#160;<em>et al</em>. 2013). The species is classified in Gene Pool 3 for both species, following the definition of Maxted&#160;<em>et al.</em>&#160;(2006)."
179725,Dissotis bussei,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MELASTOMATACEAE,Dissotis,bussei,,,,,Engl.,
179818,Polystachya lukwangulensis,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Polystachya,lukwangulensis,,,,,P.J.Cribb,
179883,Bulbophyllum gilgianum,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Bulbophyllum,gilgianum,,,,,Kraenzl.,
191319,Aquilaria subintegra,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,THYMELAEACEAE,Aquilaria,subintegra,,,,,Ding Hou,
191321,Aquilaria baillonii,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,THYMELAEACEAE,Aquilaria,baillonii,,,,,Pierre  ex Lecomte,
191405,Liquidambar yunnanensis,PLANTAE,TRACHEOPHYTA,SAXIFRAGALES,MAGNOLIOPSIDA,ALTINGIACEAE,Liquidambar,yunnanensis,,,,,(Rehder &amp; E.H.Wilson) Ickert-Bond &amp; J.Wen,
191420,Camellia connata,PLANTAE,TRACHEOPHYTA,THEALES,MAGNOLIOPSIDA,THEACEAE,Camellia,connata,,,,,(Craib) Craib,This taxon has not been collected or taxonomically re-evaluated for a long period of time. It is sometimes listed as a synonym to <em>Camellia lanceolata</em>.
191424,Camellia dormoyana,PLANTAE,TRACHEOPHYTA,THEALES,MAGNOLIOPSIDA,THEACEAE,Camellia,dormoyana,,,,,(Pierre ex Laness.) Sealy,"<span style=""font-style: italic;"">Camellia krempfii, C. dormoyana, C. fleuryi</span> and <span style=""font-style: italic;"">C. langbianensis</span> are native to the southern provinces of Viet Nam. The past and recent paucity of live materials appears to be the consequence of the destruction of historically documented native habitats. The ongoing land clearing&#160; causing the demise of native vegetation appears to be the result of the ever rising population and its demands for acceptable living conditions.<br/>Despite a decade long effort by a group of international and Australian scientists and collectors, the reliable documentation of the locations of wild populations of these <span style=""font-style: italic;"">Camellia</span> species has remained elusive. Mis-identification of some taxa in National Parks and in some private collections, e.g. <span style=""font-style: italic;"">Camellia krempfii</span> (Gagnep.) Sealy and <span style=""font-style: italic;"">C. dormoyana</span> (Pierre ex Laness) Sealy has occurred."
191430,Camellia krempfii,PLANTAE,TRACHEOPHYTA,THEALES,MAGNOLIOPSIDA,THEACEAE,Camellia,krempfii,,,,,(Gagnep.) Sealy,
